writer
A.A. Milne
Ike Barinholtz
Il Cho
Ila Bedi Dutta
Ildikó Enyedi
Iliza Shlesinger
Ilja Zofin
Ilya Naishuller
Imtiaz Ali
Ingvar Ambjørnsen
Ira Levin
Ira Sachs
Irena Brignull
Irene Mecchi
Iris Yamashita
Irvine Welsh
Irwin Allen
Isa Mazzei
Isaac Aptaker
Isaac Asimov
Isaac Marion
Isabel Allende
Isabel Coixet
Isabel Peña
Isabelle Holland
Isabelle Sobelman
Isao Takahata
Ishirô Honda
Iskander Galiev
István Szabó
Itaru Era
Ivan Cotroneo
Ivan Kavanagh
Ivan Menchell
J Blakeson
J. David Stem
J. Mackye Gruber
J. Michael Straczynski
J. Mills Goodloe
J.C. Chandor
J.C. Lee
J.D. Shapiro
J.D. Vance
J.D. Zeik
J.F. Lawton
J.G. Ballard
J.H. Wyman
J.J. Abrams
J.J. Connolly
J.K. Rowling
J.M. Barrie
J.M. Coetzee
J.P. Davis
J.P. Schaefer
J.R.R. Tolkien
J.S. Cardone
Jac Schaeffer
Jack Amiel
Jack Bernstein
Jack Black
Jack Engelhard
Jack Fincher
Jack Finney
Jack Kerouac
Jack Ketchum
Jack London
Jack Paglen
Jack Thorne
Jackie Chan
Jackie Filgo
Jaco Van Dormael
Jacob Chase
Jacob Estes
Jacob Forman
Jacob Gentry
Jacob Meszaros
Jacquelyn Mitchard
Jacques Audiard
Jacques Davidts
Jacques Lob
Jacques Mesrine
Jafar Panahi
Jaime Primak Sullivan
Jake Bernstein
Jake Crane
Jake Kasdan
Jake Wade Wall
Jalmari Helander
James Bobin
James Bowen
James Cameron
James Cox
James D. Solomon
James Dearden
James DeMonaco
James Ellroy
James Fenimore Cooper
James Ferguson
James Graham
James Gray
James Gunn
James Ivory
James Jones
James Kearns
James Krieg
James L. Brooks
James Lapine
James Lyons
James Mangold
James Mather
James McBride
James McCarthy
James McFarland
James Moran
James O'Barr
James Orr
James Patterson
James Ponsoldt
James Robert Johnston
James Schamus
James Toback
James V. Hart
James V. Simpson
James Vanderbilt
James Wan
James Ward Byrkit
James Watkins
Jamie Delano
Jamie Linden
Jamie Mathieson
Jamie Nash
Jan Guillou
Jan Komasa
Jan Sardi
Jan Schomburg
Jan-Ole Gerster
Jana Howington
Jane Anderson
Jane Austen
Jane Campion
Jane English
Jane Goldman
Janet Chun
Janet Fitch
Janet Scott Batchler
Janice Hallett
Janicza Bravo
Jantje Friese
Janus Cercone
Jarand Herdal
Jared Bush
Jared Hess
Jared Stern
Jarmo Puskala
Jarrad Paul
Jasmila Zbanic
Jason Carvey
Jason Fagone
Jason Filardi
Jason Friedberg
Jason Fuchs
Jason Hall
Jason Howden
Jason Kabolati
Jason Katims
Jason Keller
Jason Krawczyk
Jason Lew
Jason Micallef
Jason Orley
Jason Pagan
Jason Reitman
Jason Richman
Jason Robert Brown
Jason Segel
Jason Smilovic
Jasvinder Bath
Jaume Balagueró
Javed Akhtar
Javier Gullón
Jay Baruchel
Jay Chandrasekhar
Jay Cocks
Jay Cronley
Jay Duplass
Jay Longino
Jay Martel
Jay Scherick
Jay Ward
Jayamohan
Jayson Rothwell
Je-kyu Kang
Jean Bruce
Jean Poiret
Jean Shepherd
Jean-Baptiste Andrea
Jean-Christophe Grangé
Jean-Claude Carrière
Jean-François Halin
Jean-Jacques Annaud
Jean-Marc Vallée
Jean-Marie Poiré
Jean-Patrick Manchette
Jean-Pierre Améris
Jean-Pierre Bacri
Jean-Pierre Dardenne
Jean-Pierre Jeunet
Jeb Stuart
Jee-woon Kim
Jeethu Joseph
Jef Geeraerts
Jeff Arch
Jeff Baena
Jeff Bonnett
Jeff Buhler
Jeff Chan
Jeff Davis
Jeff Loveness
Jeff Lowell
Jeff Maguire
Jeff Morris
Jeff Nathanson
Jeff Nichols
Jeff Pinkner
Jeff Pope
Jeff Renfroe
Jeff Stockwell
Jeff Vintar
Jeff Wadlow
Jeff Zimbalist
Jeffery Deaver
Jeffrey Boam
Jeffrey Caine
Jeffrey Eugenides
Jeffrey Hatcher
Jeffrey Lau
Jeffrey Nachmanoff
Jeffrey Price
Jeffrey Reddick
Jemaine Clement
Jen D'Angelo
Jen Soska
Jennie Snyder Urman
Jennifer Derwingson
Jennifer Flackett
Jennifer Jason Leigh
Jennifer Kaytin Robinson
Jennifer Kent
Jennifer Lee
Jennifer Mathieu
Jennifer Niven
Jennifer Reeder
Jennifer Saunders
Jennifer Weiner
Jenny Bicks
Jenny Downham
Jenny Lumet
Jenny Wingfield
Jens Dahl
Jeong-beom Lee
Jeph Loeb
Jeremie Delon
Jérémie Guez
Jeremy Adams
Jeremy Brock
Jeremy Camp
Jérémy Clapin
Jeremy Dyson
Jeremy Garelick
Jeremy Gillespie
Jeremy Haft
Jeremy Leven
Jeremy Phillips
Jeremy Rush
Jeremy Saulnier
Jeremy Slater
Jerome Armstrong
Jerome Bixby
Jerry Juhl
Jerry Lewis
Jerry Seinfeld
Jerry Siegel
Jerusha Hess
Jerzy Kromolowski
Jesse Andrews
Jesse Armstrong
Jesse Chatham
Jesse Peretz
Jessica Bendinger
Jessica Knoll
Jessica Postigo
Jessica Sharzer
Jessie Nelson
Jesús Olmo
Jet Li
Jeymes Samuel
Jez Butterworth
Ji-young Gong
Jieho Lee
Jill Culton
Jim Abrahams
Jim Agnew
Jim Allen
Jim Burnstein
Jim Carroll
Jim Cartwright
Jim Cash
Jim Cox
Jim Cummings
Jim Davis
Jim Garrison
Jim Harrison
Jim Jarmusch
Jim Kouf
Jim Lovell
Jim Piddock
Jim Schutze
Jim Sheridan
Jim Strouse
Jim Thomas
Jim Thompson
Jim Webb
Jim Wheat
Jimmie Fails
Jimmy McGovern
Jimmy Warden
Jo Nesbø
Jo-yun Hwang
Joachim Trier
Joan Didion
Joan G. Robinson
Joan Taylor
Joann Sfar
Joanna Hogg
Joanne Harris
Joby Harold
Jody Hill
Jody Savin
Joe Ahearne
Joe Ballarini
Joe Barton
Joe Carnahan
Joe Connelly
Joe Cornish
Joe Eszterhas
Joe Forte
Joe Gayton
Joe Hill
Joe Kelly
Joe Klein
Joe Penhall
Joe Penna
Joe R. Lansdale
Joe Russo
Joe Shrapnel
Joe Stillman
Joe Swanberg
Joel Anderson
Joel Coen
Joel Cohen
Joel Edgerton
Joel Hopkins
Joël Houssin
Joel Kim Booster
Joel Schumacher
Joey O'Bryan
Joey Sagal
Joey Soloway
Johan Heldenbergh
Johannes Roberts
John A. Davis
John A. Russo
John Abraham
John Ajvide Lindqvist
John Altschuler
John August
John B. Carls
John Bellairs
John Berendt
John Boyne
John Brancato
John Brownlow
John Burnham Schwartz
John Butler
John C. Richards
John Callahan
John Cameron Mitchell
John Carlin
John Carney
John Carpenter
John Claflin
John Cleese
John Collee
John Curran
John D. MacDonald
John D'Arco
John Dahl
John Davies
John Duigan
John Erick Dowdle
John Fasano
John Fusco
John Garvin
John Gatins
John Glenn
John Grisham
John Guare
John Hamburg
John Heffernan
John Herzfeld
John Hill
John Hodge
John Hopkins
John Huddles
John Hughes
John Hyams
John Irving
John J. McLaughlin
John J. Strauss
John Kamps
John Kåre Raake
John Katzenbach
John Kostmayer
John Krasinski
John L. Greene
John Landis
John Lasseter
John le Carré
John Lee Hancock
John Logan
John Long
John Lutz
John Maclean
John Marsden
John Mattson
John McNamara
John Michael McDonagh
John Milius
John Mortimer
John Newman
John Norville
John O'Brien
John Orloff
John Patrick Shanley
John Patton Ford
John Payson
John Penney
John Phillips
John Pogue
John Quaintance
John Requa
John Rice
John Ridley
John Roach
John Rogers
John Romano
John Sayles
John Scott 3
John Scott Shepherd
John Shirley
John Singleton
John Steakley
John Steinbeck
John Stockwell
John Strysik
John Swetnam
John Travis
John Turturro
John Wagner
John Wainwright
John Waters
John Wells
John Whittington
John Woo
John Wyndham
Johnny Cash
Johnny Ferguson
Johnny Knoxville
Johnny Rosenthal
Johnston McCulley
Joie Lee
Jojo Moyes
Jon Bernstein
Jon Brown
Jon Croker
Jon Erwin
Jon Favreau
Jon Hartmere
Jon Hoeber
Jon Hurwitz
Jon Lucas
Jon Robin Baitz
Jon Ronson
Jon S. Baird
Jon Spaihts
Jon Stewart
Jon Vitti
Jon Watts
Jon Zack
Jonah Hill
Jonah Markowitz
Jonas Banys
Jonas Chernick
Jonás Cuarón
Jonas Frykberg
Jonas T. Bengtsson
Jonathan Aibel
Jonathan Asser
Jonathan Baker
Jonathan Bernstein
Jonathan Brackley
Jonathan Darby
Jonathan English
Jonathan Frank
Jonathan Goldstein
Jonathan Harr
Jonathan Harvey
Jonathan Hensleigh
Jonathan Herman
Jonathan Jakubowicz
Jonathan Kasdan
Jonathan King
Jonathan Larson
Jonathan Levine
Jonathan Mostow
Jonathan Nolan
Jonathan Perera
Jonathan Raymond
Jonathan Safran Foer
Jonathan Sobol
Jonathan Tropper
Jonathan Tydor
Joo-Suk Park
Jordan Cahan
Jordan Melamed
Jordan Peele
Jordan Roberts
Jordi Galceran
Jorge Furtado
Jorge Guerricaechevarría
Jorge R. Gutiérrez
Jorge Saralegui
Josann McGibbon
José Manuel Gómez
José Padilha
Jose Rivera
José Saramago
Josef Fares
Joseph D. Pistone
Joseph Finder
Joseph Gordon-Levitt
Joseph Kahn
Joseph Kwong
Joseph Oriolo
Josh A. Cagan
Josh Appelbaum
Josh Boone
Josh Campbell
Josh Friedman
Josh Goldsmith
Josh Heald
Josh Klausner
Josh Lawson
Josh Lieb
Josh McKinney
Josh Radnor
Josh Singer
Josh Stolberg
Joshua Davis
Joshua Marston
Joshua Zetumer
Joss Whedon
Joyce Maynard
Joyce Smith
Juan Carlos Fresnadillo
Juan José Campanella
Juan Mayorga
Juan Solanas
Judd Apatow
Judith Roberts
Juel Taylor
Juhi Chaturvedi
Jules Asner
Jules Verne
Julia Baird
Julia Ducournau
Julia Leigh
Julian Barratt
Julian Fellowes
Julian Gilbey
Julian Loyola
Julian Mitchell
Julie Delpy
Julie Margaret Hogben
Julien Arruti
Julien Magnat
Julien Maury
Julien Rappeneau
Juliet Snowden
Juliette Towhidi
Julio Medem
Julio Rojas
Julius Avery
Jung Bum-shik
Jungmi Oh
Jurek Becker
Jürgen Büscher
Jussi Adler-Olsen
Justin Benson
Justin Dec
Justin Haythe
Justin Kerrigan
Justin Lader
Justin Malen
Justin Marks
Justin Simien
Justin Stanley
Justin Theroux
Justin Zackham
Jymn Magon
Jyoti Kapoor
K. Hari Shankar
K. Subhash
K.S. Aravind
Ka-Fai Wai
Kam-Yuen Szeto
Kanae Minato
Kaneo Ikegami
Kanika Dhillon
Kantemir Balagov
Kar-Wai Wong
Kara Holden
Karan Johar
Karen Croner
Karen Elise Baldwin
Karen Janszen
Karen Leigh Hopkins
Karen Maine
Karen McCullah
Karen Moncrieff
Karen Schaler
Karen Sprecher
Karen Walton
Karey Kirkpatrick
Kari Granlund
Karim Hussain
Karin Howard
Kario Salem
Karl Gajdusek
Karl Geurs
Karl Mueller
Karthik Subbaraj
Karyn Bosnak
Karyn Kusama
Kasi Lemmons
Kata Wéber
Kate Angelo
Kate Boutilier
Kate DiCamillo
Kate Gunzinger
Katharina Held
Katherine Brooks
Katherine Fugate
Kathryn Bigelow
Kathy McWorter
Katie Anne Naylon
Katie Dippold
Katie Lovejoy
Katie Silberman
Katie Wech
Katsuhito Ishii
Katy Brand
Kay Cannon
Kazuki Nakashima
Kazunori Itô
Kazuo Ishiguro
Kazuo Koike
Kazushige Nojima
Keenan Coogler
Keenen Ivory Wayans
Keiko Nobumoto
Keir Pearson
Keith Bunin
Keith Merryman
Keith Thompson
Keith Walker
Kelley Eskridge
Kelley Sane
Kelly Fremon Craig
Kelly Marcel
Kelly Masterson
Kelly Reichardt
Kemp Powers
Ken Baker
Ken Friedman
Ken Hixon
Ken Kaufman
Ken Li
Ken Lipper
Ken Rance
Ken Sanzel
Ken Scott
Ken Selden
Kengo Kaji
Kenji Bando
Kenneth Branagh
Kenneth Lonergan
Kenneth Ross
Kenny Kim
Kent Harper
Kentaro Miura
Kenya Hirata
Kerry Conran
Kevin A. Rice
Kevin Barnett
Kevin Bernhardt
Kevin Bisch
Kevin Brodbin
Kevin Brooks
Kevin Burrows
Kevin Costello
Kevin DiCicco
Kevin Dreyfuss
Kevin Eastman
Kevin Falls
Kevin Grevioux
Kevin Hageman
Kevin Hart
Kevin Jakubowski
Kevin James
Kevin Jarre
Kevin Kennedy
Kevin Kölsch
Kevin Lehane
Kevin Munroe
Kevin Reynolds
Kevin Smith
Kevin Spacey
Kevin Williamson
Kevin Willmott
Kiah Roache-Turner
Kid Cudi
Kiel Murray
Kieran Fitzgerald
Kim Barker
Kim Fupz Aakeson
Kim Henkel
Kim Ki-duk
Kim Ki-young
Kim Nguyen
Kim Wilson
Kimberly Lofstrom Johnson
Kimberly Peirce
Kiranraj K
Kirk DeMicco
Kirk Jones
Kit Hopkins
Kitty Green
Kiyoshi Kurosawa
Kleber Mendonça Filho
Knate Lee
Kogonada
Kôhei Horikoshi
Kôji Shiraishi
Kôji Suzuki
Kookie Gulati
Kore-eda Hirokazu
Kornél Mundruczó
Koushun Takami
Koyoharu Gotouge
Kris Isacsson
Kris Pearn
Kriss Turner
Kristen Wiig
Kristin Hahn
Kristine Johnson
Kristofor Brown
Krzysztof Kieslowski
Kundô Koyama
Kurt Johnstad
Kurt McLeod
Kurt Sutter
Kurt Warner
Kurt Wimmer
Kwang-young Choi
Kwong-Kim Yip
Kyle Hunter
Kyle Jarrow
Kyle Killen
Kyle Pennekamp
Kyle Rankin
Kyle Ward
Kyle Warren
Ladj Ly
Laeta Kalogridis
Laetitia Colombani
Lajos Parti Nagy
Lake Bell
Lana Wachowski
Larry Beinhart
Larry Bishop
Larry Cohen
Larry Doyle
Larry Ferguson
Lars Boom
Lars Kristian Andersen
Lars von Trier
Larysa Kondracki
László Krasznahorkai
László Nemes
Laura Esquivel
Laura Harkcom
Laura Hillenbrand
Laura Kasischke
Laura Solon
Laura Wade
Laura Zigman
Laura Ziskin
Lauran Paine
Laure de Clermont-Tonnerre
Lauren Miller Rogen
Lauren Swickard
Laurence Dworet
Laurence Malkin
Laurence Sterne
Laurent Baffie
Laurent Binet
Laurent Cantet
Laurent Tirard
Laurent Zeitoun
Laurice Elehwany
Laurie Craig
Lauryn Kahn
Lawrence Block
Lawrence D. Cohen
Lawrence Kasdan
Lawrence Konner
Lawrence Michael Levine
Lawrence Riggins
Lawrence Wright
Laxman Utekar
Le Ly Hayslip
Lech Majewski
Lee Anthony Smith
Lee Chang-dong
Lee Child
Lee Cronin
Lee Eisenberg
Lee Falk
Lee Hae-jun
Lee Hall
Lee Isaac Chung
Lee Ji-min
Lee Unkrich
Leigh Dunlap
Leigh Whannell
Leiji Matsumoto
Leila Basen
Lem Dobbs
Len Blum
Len Brown
Len Wiseman
Lena Waithe
Leo Benvenuti
Leonard Ripps
Leos Carax
Leslie Bohem
Leslie Caveny
Leslie Charteris
Leslie Cockburn
Leslie Dixon
Leslye Headland
Lev Grossman
Levan Akin
Lew Wallace
Lewis Colick
Lewis John Carlino
Lexi Alexander
Liam Gavin
Liam O'Donnell
Lilly Wachowski
Lily Brooks-Dalton
Lin-Manuel Miranda
Linda Woolverton
Lindsay Shapero
Lindsey Beer
Lisa Addario
Lisa Cholodenko
Lisa Joy
Lissa Evans
Liz Cackowski
Liz Hannah
Logan Sparks
Lokesh Kanagaraj
Lona Williams
Lord Byron
Loren Bouchard
Loren Taylor
Lorene Scafaria
Lorenzo Carcaterra
Lorne Cameron
Lou Holtz Jr.
LouAnne Johnson
Louis Begley
Louis Cha
Louis Mellis
Louis Nowra
Louis Sachar
Louis Venosta
Louisa May Alcott
Louise Fitzhugh
Louise Stratten
Loung Ung
Lowell Cannon
Lowell Cunningham
Lowell Ganz
Luc Besson
Lucas Martell
Lucas Sussman
Lucia Aniello
Lucía Puenzo
Lucinda Coxon
Lucio Besana
Lucky McKee
Lucy Alibar
Lucy Dahl
Lucy Shuttleworth
Luis Estrada
Luis Ortega
Luis Piedrahita
Luiso Berdejo
Lukas Dhont
Lukas Heller
Lukas Moodysson
Lukasz Kosmicki
Luke Davies
Luke Dawson
Luke Greenfield
Luke Passmore
Lulu Wang
Luv Ranjan
Lynn Barber
Lynn Shelton
Lynn Siefert
Lynne Ramsay
Lynne Reid Banks
M Chandramouli
M. Cahill
M. Night Shyamalan
M.A. Fortin
M.G. Sathya
M.J. Bassett
M.S. Manimaran
Mabrouk El Mechri
Macon Blair
Madhavan
Madonna
Maeve Binchy
Maggie Carey
Maggie Cohn
Maggie Gyllenhaal
Mahesh Manjrekar
Mahmoud Aiden
Mahsun Kirmizigül
Maïwenn
Majid Majidi
Makoto Fukami
Makoto Shinkai
Maksim Budarin
Malcolm D. Lee
Malik Bader
Mamoru Hosoda
Mamoru Oshii
Mandy Nelson
Maneesh Sharma
Mani Ratnam
Manikandan K.
Manish Gupta
Manuel Puig
Marc Behm
Marc Frydman
Marc Guggenheim
Marc Haimes
Marc Hyman
Marc Klein
Marc Lawrence
Marc M.
Marc Meyers
Marc Moss
Marc Norman
Marcia Brandwynne
Marco Bellocchio
Marcos Bernstein
Marcus Hinchey
Marcus Sakey
Maren Ade
Maren Louise Käehne
Margaret Atwood
Margaret Mazzantini
Margaret Nagle
Margaret Rosenthal
Marguerite Duras
Mari Okada
Mari Selvaraj
Maria Camila Arias
Maria Maggenti
Maria von Heland
Marianne Wibberley
Marie Brenner
Marie Weiss
Marie-Pierre Huster
Marieke van der Pol
Mario Giordano
Mario Puzo
Marion Nelson
Marjane Satrapi
Mark A. Lewis
Mark Amin
Mark Andrus
Mark Boal
Mark Bomback
Mark Bowden
Mark Brandon Read
Mark Brown
Mark Burnell
Mark Burton
Mark Chappell
Mark Christopher
Mark Crowdy
Mark Cullen
Mark Dennis
Mark Dindal
Mark Duplass
Mark Feldberg
Mark Felt
Mark Fergus
Mark Friedman
Mark Frost
Mark Hammer
Mark Handley
Mark Hanlon
Mark Herman
Mark Heyman
Mark Huckerby
Mark L. Smith
Mark Leyner
Mark Mallouk
Mark Neveldine
Mark Nutter
Mark O'Rowe
Mark Perez
Mark Polish
Mark Protosevich
Mark Richard
Mark Rizzo
Mark Romanek
Mark Rosenthal
Mark Schwahn
Mark Spragg
Mark Stein
Mark Steven Johnson
Mark Twain
Mark Verheiden
Mark Wheaton
Markus Zusak
Marla Frazee
Marlon Wayans
Marshall Brickman
Mart Crowley
Martha Hillier
Marti Leimbach
Marti Noxon
Martin Ambrosch
Martin Donovan
Martin Koolhoven
Martin McDonagh
Martin McGartland
Martin Stellman
Martin Zandvliet
Marty Kaplan
Marv Wolfman
Mary Agnes Donoghue
Mary Harron
Mary Norton
Mary Rodgers
Mary Shelley
Mary Stewart
Masashi Kishimoto
Masayuki Suô
Massy Tadjedin
Mateusz Pacewicz
Mathieu Kassovitz
Mathieu Turi
Matias Caruso
Matt Allen
Matt Bai
Matt Bettinelli-Olpin
Matt Charman
Matt Cook
Matt Corman
Matt Damon
Matt Drake
Matt Duffer
Matt Eskandari
Matt Greenberg
Matt Harris
Matt Holloway
Matt Hylton Todd
Matt Johnson
Matt Leslie
Matt Lieberman
Matt Lopez
Matt Palmer
Matt Reeves
Matt Ross
Matt Ruskin
Matt Sazama
Matt Sherring
Matt Venne
Matt Whiteley
Matthew Aldrich
Matthew Ballen
Matthew Bright
Matthew Chapman
Matthew Cirulnick
Matthew F. Jones
Matthew Faulk
Matthew Fogel
Matthew Kennedy
Matthew Michael Carnahan
Matthew Newman
Matthew Newton
Matthew Orton
Matthew Ryan Hoge
Matthew Sand
Matthew Vaughn
Matthew Waynee
Matthew Weiner
Matthias Hoene
Matthieu Delaporte
Matthieu Le Naour
Mattias Olsson
Mattson Tomlin
Maurice Barthélémy
Maurice G. Dantec
Mauricio Kartun
Max Allan Collins
Max Borenstein
Max Botkin
Max D. Adams
Max Joseph
Max La Bella
Max Landis
Max Mayer
Max Werner
Maya Forbes
Mayank Jain
Medha Jadhav
Meg Cabot
Meg Rosoff
Megan Holley
Megan Park
Mehran Kashani
Mel Brooks
Mel Gibson
Melih Esat Acil
Melisa Wallack
Melissa Carter
Melissa Goddard
Melissa K. Stack
Melissa Mathison
Melissa McCarthy
Melissa Rauch
Melissa Rosenberg
Menno Meyjes
Merian C. Cooper
Mette M. Bølstad
Mia Hansen-Løve
Micah Fitzerman-Blue
Micah Ranum
Michael Almereyda
Michael Andrews
Michael Arlen Ross
Michael Armbruster
Michael Arndt
Michael Bacall
Michael Berg
Michael Berk
Michael Berry
Michael Blake
Michael Bortman
Michael Brandt
Michael Bronner
Michael Browning
Michael C. Martin
Michael Caissie
Michael Carnes
Michael Chabon
Michael Cody
Michael Colton
Michael Connelly
Michael Cooney
Michael Crichton
Michael Cristofer
Michael Cunningham
Michael D. Weiss
Michael Davis
Michael De Luca
Michael Diliberti
Michael Doneger
Michael Dougherty
Michael Dowse
Michael Druker
Michael Dudok de Wit
Michael Elliot
Michael Fallon
Michael Ferris
Michael Finch
Michael Frayn
Michael Frost Beckner
Michael G. Cooney
Michael German
Michael Gilvary
Michael Goldbach
Michael Goldenberg
Michael Grais
Michael Green
Michael Haneke
Michael Hastings
Michael Herbig
Michael Hirst
Michael Hoffman
Michael Ian Black
Michael J. Wilson
Michael Jai White
Michael Jelenic
Michael Kennedy
Michael Konyves
Michael Koryta
Michael Koskoff
Michael Lander
Michael LeSieur
Michael Lesslie
Michael Lloyd Green
Michael Mann
Michael Markowitz
Michael McCullers
Michael McDowell
Michael McQuown
Michael Mitnick
Michael Mohan
Michael Moore
Michael Nitsberg
Michael Ondaatje
Michael Palmer
Michael Patrick King
Michael Pavone
Michael Pearce
Michael Petroni
Michael Pye
Michael R. Perry
Michaël R. Roskam
Michael Rasmussen
Michael Reilly
Michael Reisz
Michael Rianda
Michael Robert Johnson
Michael Schiffer
Michael Seitzman
Michael Shaara
Michael Showalter
Michael Sloane
Michael Spierig
Michael Steinberg
Michael Thomas
Michael Tolkin
Michael Waldron
Michael Wallach
Michael Wolk
Michel Gondry
Michel Hazanavicius
Michel Ocelot
Michele Alexander
Michele Mulroney
Michelle Ashford
Michelle Morgan
Michelle Rosenfarb
Mick Davis
Mick Garris
Miguel Barros
Mike Bender
Mike Binder
Mike Birbiglia
Mike Cahill
Mike Carey
Mike Cerrone
Mike Flanagan
Mike Jefferies
Mike Judge
Mike Leigh
Mike Makowsky
Mike McAlary
Mike Mills
Mike Myers
Mike P. Nelson
Mike Reiss
Mike Rich
Mike Vukadinovich
Mike Werb
Mike White
Mikki Daughtry
Mikko Alanne
Miklós László
Milcho Manchevski
Miles Chapman
Miles Millar
Milo Addica
Milos Avramovic
Milos Forman
Mimi Hare
Mindy Kaling
Miranda July
Mircea Eliade
Misan Sagay
Mishna Wolff
Mitch Cullin
Mitch Glazer
Mitch Rotter
Mitch Rouse
Mitchell Kapner
Mitchell Lichtenstein
Mitesh Shah
Mithran Jawahar
Moe Jelline
Mohan Nair
Mohan Raja
Moira Buffini
Molly Shannon
Mona Simpson
Monte Merrick
Mordecai Richler
Morgan Davis Foehl
Morgan Land
Morgan O'Neill
Mort Briskin
Morton S. Fine
Morwenna Banks
Mrunmayee Lagoo
Murray Salem
Myeong-chan Park
Myroslav Slaboshpytskyi
Na Hong-jin
Nacho Vigalondo
Nadine Labaki
Nae Caranfil
Nagnath S. Inamdar
Nai-Hoi Yau
Naji Abu Nowar
Nancy M. Pimental
Nancy Meyers
Nancy Oliver
Nancy Price
Nanni Moretti
Naomi Foner
Napalee
Nat Faxon
Nat Hiken
Natalie Babbitt
Natalie Erika James
Natasa Drakulic
Nate Atkins
Nate Parker
Nathalie Biancheri
Nathan Parker
Nathaniel Hawthorne
Nathaniel Rich
Navot Papushado
Neal H. Dobrofsky
Neal Purvis
Neasa Hardiman
Ned Benson
Neelesh Misra
Neha Sharma
Neil B. Shulman
Neil Burger
Neil Cross
Neil Cuthbert
Neil Elman
Neil Gaiman
Neil Jordan
Neil LaBute
Neil Landau
Neil Marshall
Neil Simon
Neil Tolkin
Neill Blomkamp
Nelson DeMille
Nelson Dilipkumar
Nelson Greaves
Nia Vardalos
Niall Johnson
Nic Pizzolatto
Niccolò Ammaniti
Niceole R. Levy
Nicholas Jarecki
Nicholas Kazan
Nicholas Klein
Nicholas Martin
Nicholas McCarthy
Nicholas Meyer
Nicholas Pileggi
Nicholas Searle
Nicholas Sparks
Nicholas St. John
Nicholas Stoller
Nichole Millard
Nick Bain
Nick Bakay
Nick Cassavetes
Nick Castle
Nick Cave
Nick Cuse
Nick Damici
Nick Evans
Nick Gordon
Nick Hornby
Nick Love
Nick Moorcroft
Nick Naveda
Nick Payne
Nick Santora
Nick Schenk
Nick Vallelonga
Nick Villiers
Nico Moolenaar
Nicola Guaglianone
Nicolas Bedos
Nicolas Boukhrief
Nicolas Bouvet-Levrard
Nicolás Casariego
Nicolas Charlet
Nicolas Winding Refn
Nicolas Wright
Nicole Eastman
Nicole Holofcener
Nicole Taylor
Nikhil Mehrotra
Niki Caro
Nikita Argunov
Nikita Mikhalkov
Nikolai Leskov
Nikolai Müllerschön
Nikolaj Arcel
Nikolaj Coster-Waldau
Nikolaj Frobenius
Nimród Antal
Ninja Thyberg
Nir Paniry
Niranjan Iyengar
Nissar Modi
Noah Baumbach
Noah Gordon
Noah Haidle
Noah Oppenheim
Noah Pink
Noboru Iguchi
Nobuhiro Watsuki
Noel Clarke
Noga Landau
Nora Ephron
Nora Fingscheidt
Norman Maclean
Norman Snider
Nuri Bilge Ceylan
Oi-Wah Lam
Ol Parker
Olatunde Osunsanmi
Ole Bornedal
Oleg Malovichko
Oleg Negin
Olen Steinhauer
Oliver Butcher
Oliver Daly
Oliver Sacks
Oliver Stone
Olivia Goldsmith
Olivier Assayas
Olivier Marchal
Olivier Nakache
Olly Blackburn
Omar Naim
Önder Çakar
Onur Ünlü
Oren Aviv
Oren Moverman
Oren Peli
Oren Uziel
Oriol Paulo
Osamu Tezuka
Oscar Wilde
Ottessa Moshfegh
Owen Wilson
Oz Perkins
Oz Rodriguez
Özer Feyzioglu
Özge Efendioglu
P.J. Dillon
P.J. Hogan
P.L. Travers
P.V. Shajikumar
Pablo Berger
Pablo F. Fenjves
Paco Plaza
Paddy Considine
Pål Sletaune
Pam Brady
Pamela Falk
Pamela Gray
Pamela Katz
Pamela Pettler
Panna Rittikrai
Panos Cosmatos
Paolo Sorrentino
Paolo Virzì
Parasuram
Park Chan-wook
Park Hoon-jung
Parker Finn
Parkpoom Wongpoom
Parveez Sheikh
Pascal Bruckner
Pascal Laugier
Pat Casey
Pat Conroy
Pat McCabe
Pat Proft
Pat Rushin
Patch Adams
Patrice Garcia
Patricia Beauchamp
Patricia Highsmith
Patricia Rozema
Patrick Aison
Patrick Braoudé
Patrick Brice
Patrick Cauvin
Patrick DeWitt
Patrick J. Clifton
Patrick Marber
Patrick Massett
Patrick McGrath
Patrick Melton
Patrick Ness
Patrick O'Brian
Patrick O'Neill
Patrick Read Johnson
Patrick Sheane Duncan
Patrick Tobin
Patrick Vollrath
Patrick Wehe Mahoney
Patrick Wilde
Pattukottai Prabhakar
Patty Dann
Patty Jenkins
Paul Andrew Williams
Paul Attanasio
Paul Auster
Paul Bernbaum
Paul Bowles
Paul China
Paul Dano
Paul Danziger
Paul Downs Colaizzo
Paul Feig
Paul Fisher
Paul Gallico
Paul Germain
Paul Greengrass
Paul Guay
Paul Haggis
Paul Harris Boardman
Paul Henning
Paul Hernandez
Paul Hyett
Paul King
Paul Laverty
Paul Mayersberg
Paul Rudnick
Paul Schrader
Paul Sloan
Paul Solet
Paul T. Scheuring
Paul Tamasy
Paul Thomas Anderson
Paul Tremblay
Paul Urkijo Alijo
Paul W.S. Anderson
Paul Webb
Paul Weitz
Paul Wernick
