cast
50 Cent
Liv Tyler
Liyabuya Gongo
Logan Lerman
Logan Marshall-Green
Lola Petticrew
Loren Taylor
Lorenza Izzo
Lorenzo Ferro
Lori Petty
Lou de Laâge
Lou Taylor Pucci
Louis Ashbourne Serkis
Louis C.K.
Louis Garrel
Louis Koo
Louise Bourgoin
Lubna Azabal
Lucas Black
Lucas Gregorowicz
Lucas Hedges
Lucas Pittaway
Lucas Till
Luci Christian
Lucy Hale
Lucy Liu
Luigi Lo Cascio
Luis Tosar
Lukas Schwarz
Luke Evans
Luke Goss
Luke Hawker
Luke Treadaway
Luke Wilson
Lulu Wilson
Lupita Nyong'o
Lyndsy Fonseca
Lyric Ross
Ma Dong-seok
Macaulay Culkin
Maciej Musialowski
Mackenzie Foy
Macon Blair
Madeleine Coghlan
Madeleine Stowe
Madeline Brewer
Madeline Carroll
Madhavan
Madina Nalwanga
Madison Ingoldsby
Madison Wolfe
Madonna
Mads Mikkelsen
Mae Whitman
Maeve Higgins
Magda Szubanski
Maggie Gyllenhaal
Maggie Smith
Mahdi Pakdel
Mahershala Ali
Mahesh Babu
Mahiro Takasugi
Maika Monroe
Maisie Williams
Malcolm McDowell
Malgorzata Foremniak
Mamoudou Athie
Mandy Moore
Manoj Bajpayee
Manuela Velasco
Marc Diraison
Marc Donato
Marc Swint
Marc Zinga
Marcel Ruiz
Marcello Fonte
Marco Hofschneider
Marco Leonardi
Maren Eggert
Margot Robbie
Maria Bello
Maribel Verdú
Marie Maskell
Marie-Laure Dougnac
Marin Ireland
Marina Foïs
Marine Vacth
Mario Casas
Marion Cotillard
Marisa Paredes
Marisa Tomei
Mariya Smolnikova
Mark Duplass
Mark Hapka
Mark Rowley
Mark Ruffalo
Mark Rylance
Mark Strong
Mark Wahlberg
Mark Webber
Marla Sokoloff
Marlon Brando
Marlon Wayans
Marta Etura
Martijn Lakemeier
Martin Compston
Martin Freeman
Martin Henderson
Martin Lawrence
Martin McCann
Martin Sheen
Martina Gedeck
Martyn Ford
Mary Elizabeth Winstead
Mary McCormack
Mary Steenburgen
Maryana Spivak
Masaharu Fukuyama
Masahiro Motoki
Masako Nozawa
Masato Hagiwara
Mason Thames
Massimo Troisi
Matei Dima
Matheus Nachtergaele
Mathieu Amalric
Matías Quer
Matilda Anna Ingrid Lutz
Matt Damon
Matt Dillon
Matt Lanter
Matt Passmore
Matthew Broderick
Matthew Fox
Matthew Goode
Matthew J. Munn
Matthew Lillard
Matthew Macfadyen
Matthew McConaughey
Matthew Mercer
Matthew Modine
Matthew Perry
Matthew Rhys
Matthias Schoenaerts
Matthias Schweighöfer
Matthieu Chedid
Max Hubacher
Max Irons
Max Records
Max Riemelt
Max von Sydow
Maxim Gaudette
Maxime Godart
Maximiliano Ghione
Mayumi Tanaka
Mbulelo Grootboom
Mckenna Grace
Meg Ryan
Megan Fox
Megumi Hayashibara
Megumi Ogata
Megumi Okina
Mekhi Phifer
Mel Brooks
Mel Gibson
Melanie Griffith
Mélanie Laurent
Melanie Lynskey
Melissa George
Melissa Joan Hart
Melissa Leo
Melissa McCarthy
Melissa Rauch
Meltem Cumbul
Melvil Poupaud
Mena Suvari
Mercedes Mason
Meryl Streep
Method Man
Mia Farrow
Mia Goth
Mia Wasikowska
Michael Abela
Michael B. Jordan
Michael C. Hall
Michael Caine
Michael Caton
Michael Cera
Michael Dobson
Michael Douglas
Michael Ealy
Michael Fassbender
Michael Herbig
Michael J. Fox
Michael J. Reynolds
Michael Jai White
Michael Jeter
Michael Jordan
Michael Keaton
Michael Nyqvist
Michael Oliver
Michael Parks
Michael Peña
Michael Pitt
Michael Shannon
Michael Stuhlbarg
Michael Urie
Michael Vartan
Michel Beaudry
Michel Côté
Michel Piccoli
Michèle Caucheteux
Michelle Morgan
Michelle Pfeiffer
Michelle Rodriguez
Michelle Trachtenberg
Michelle Williams
Michelle Yeoh
Michiel Huisman
Mickey Rourke
Miguel Ferrer
Mihály Vig
Miho Kanno
Mikael Persbrandt
Mike Judge
Mike Myers
Mike Vogel
Miki Imai
Miki Nakatani
Mila Kunis
Milan Maric
Miles Teller
Miley Cyrus
Milla Jovovich
Millie Bobby Brown
Milo Cawthorne
Milo Coy
Milos Bikovic
Min-soo Jo
Minase Yashiro
Ming-Na Wen
Mira Barkhammar
Mira Sorvino
Mirabai Pease
Mircea Diaconu
Missy Peregrym
Mitchel Musso
Mithun Chakraborty
Mitsuru Fukikoshi
Miyoko Shôji
Miyu Irino
Mohamed Fellag
Mohammad Amir Naji
Mohanlal
Molly Shannon
Monica Bellucci
Monica Calhoun
Monica Potter
Morfydd Clark
Morgan Freeman
Morgan Saylor
Morgana O'Reilly
Moritz Bleibtreu
Morjana Alaoui
Morten Burian
Muhammet Uzuner
Munro Chambers
Muzaffer Özdemir
Myles Truitt
Myoung Gong
N.T. Rama Rao Jr.
Nadezhda Markina
Nadine Labaki
Nahuel Pérez Biscayart
Najarra Townsend
Najwa Nimri
Nam-mi Kang
Nanako Matsushima
Nandamuri Balakrishna
Nanna Blondell
Nanni Moretti
Nanoka Hara
Naomi Ackie
Naomi Watts
Naomie Harris
Narges Rashidi
Narilya Gulmongkolpech
Nas
Naseeruddin Shah
Nasim Pedrad
Nat Wolff
Natalia Dyer
Natalie Dormer
Natalie Portman
Natalie Press
Natasha Calis
Natasha Henstridge
Natasha Lyonne
Natasha Richardson
Nate Parker
Nathalie Emmanuel
Nathan Baesel
Nathan Fillion
Nathan Lane
Nathan Phillips
Nathaniel Brown
Natsuki Hanae
Naveen Andrews
Naveen Polishetty
Navi Rawat
Nawazuddin Siddiqui
Necati Sasmaz
Neel Sethi
Neil Maskell
Neil Patrick Harris
Neil Young
Neve Campbell
Nia Vardalos
Niamh Algar
Nichola Burley
Nicholas Braun
Nicholas D'Agosto
Nicholas Hope
Nicholas Hoult
Nick Cannon
Nick Frost
Nick Nolte
Nick Offerman
Nick Purcha
Nick Robinson
Nick Sutton
Nick Zano
Nicolas Cage
Nicole Brydon Bloom
Nicole de Boer
Nicole George
Nicole Kidman
Nien-Jen Wu
Nigel Hawthorne
Nikhil Siddharth
Nikita Mikhalkov
Nikola Kojo
Nikolaj Coster-Waldau
Nikolaj Lie Kaas
Nilbio Torres
Nina Dobrev
Nina Hoss
Nirup Bhandari
Nita-Josée Hanna
Noah Centineo
Noah Schnapp
Noémie Merlant
Non
Noomi Rapace
Nora Arnezeder
Nora-Jane Noone
Norah Jones
Noriko Sakai
Norm MacDonald
Norman Reedus
Numan Acar
O'Shea Jackson Jr.
Oakes Fegley
Octavia Spencer
Odessa A’zion
Odessa Young
Oksana Akinshina
Olga Kurylenko
Oliver Driver
Oliver Masucci
Olivia Bonamy
Olivia Colman
Olivia Cooke
Olivia DeJonge
Olivia Wilde
Om Puri
Omar Epps
Omar Sharif
Omar Sy
Orlando Bloom
Oscar Isaac
Oscar Martínez
Otto Jespersen
Oulaya Amamra
Owen Campbell
Owen Kline
Owen Wilson
Paco León
Paddy Considine
Paige O'Hara
Paige Turco
Pål Sverre Hagen
Pam Grier
Pankaj Tripathi
Paresh Rawal
Park Hae-il
Parminder Nagra
Parry Shen
Pat Healy
Patricia Arquette
Patrick Bruel
Patrick Dempsey
Patrick Fabian
Patrick Fugit
Patrick Huard
Patrick John Flueger
Patrick Stewart
Patrick Swayze
Patrick Wilson
Patton Oswalt
Paul Bettany
Paul Brannigan
Paul Dano
Paul Giamatti
Paul Kalkbrenner
Paul Kaye
Paul McGann
Paul Mercier
Paul Mercurio
Paul Mescal
Paul Newman
Paul Rudd
Paul Sorvino
Paul Terry
Paul Walker
Paul Walter Hauser
Paula Patton
Paulina Gaitan
Pauline Acquart
Pauly Shore
Pavlik Jansen op de Haar
Pawan Kalyan
Payman Maadi
Paz Vega
Penelope Ann Miller
Penélope Cruz
Penn Badgley
Per Christian Ellefsen
Perdita Weeks
Peri Baumeister
Pete Davidson
Pete Postlethwaite
Peter Billingsley
Peter Cilella
Peter Dinklage
Peter Mullan
Peter O'Toole
Peter Sallis
Peter Sarsgaard
Peter Weller
Phil Hess
Phil Robertson
Philip Baker Hall
Philip Seymour Hoffman
Philippe Lacheau
Philippe Nahon
Phoebe Cates
Pierce Brosnan
Pierfrancesco Favino
Pierre Niney
Pili Groyne
Pilou Asbæk
Piper Perabo
Pollyanna McIntosh
Prabhas
Pradeep Ranganathan
Pranav Mohanlal
Pratik Nanda
Predrag 'Miki' Manojlovic
Preity G Zinta
Presley Chweneyagae
Priscilla C. Shirer
Priscilla Quintana
Priyanka Chopra Jonas
Pyotr Mamonov
Queen Latifah
Quim Gutiérrez
Quinton Aaron
Quvenzhané Wallis
Rachael Leigh Cook
Rachel Brosnahan
Rachel McAdams
Rachel Nichols
Rachel Sennott
Rachel Weisz
Rachelle Lefevre
Radha Mitchell
Radhika Apte
Rafe Spall
Raffiella Chapman
Rahul Bhat
Rain
Rainn Wilson
Rajinikanth
Rajkummar Rao
Rakel Lenora Petersen Fløttum
Rakshit Shetty
Rakul Preet Singh
Ralph Fiennes
Rami Malek
Ranbir Kapoor
Rani Mukerji
Ranveer Singh
Rapulana Seiphemo
Rashida Jones
Rasmus Hardiker
Ray Liotta
Ray Romano
Ray Stevenson
Ray Winstone
Ray Wise
Rebecca De Mornay
Rebecca Hall
Rebecca Romijn
Rebekah Kennedy
Rebel Wilson
Reece Thompson
Reese Witherspoon
Reggie Bannister
Regina Casé
Regina Hall
Reiley McClendon
Rémy Girard
Rena Owen
Renate Reinsve
Renée Zellweger
Rhona Mitra
Rhys Ifans
Rhys Wakefield
Ricardo Darín
Riccardo Scamarcio
Ricci Harnett
Richa Chadha
Richard Armitage
Richard Attenborough
Richard Dreyfuss
Richard E. Grant
Richard Farnsworth
Richard Gere
Richard Griffiths
Richard Harmon
Richard Jenkins
Richard Kind
Richard Lukunku
Rick Moranis
Rickson Tevez
Ricky Gervais
Rie Rasmussen
Riisa Naka
Rik Mayall
Riley Keough
Rin Takanashi
Rinal Mukhametov
Rishab Shetty
Rita Blanco
River Phoenix
Riz Ahmed
Rob Brown
Rob Corddry
Rob Lowe
Rob Schneider
Robbie Amell
Robert Arkins
Robert Carlyle
Robert De Niro
Robert Downey Jr.
Robert Duvall
Robert Englund
Robert Gustafsson
Robert Hoffman
Robert John Burke
Robert Pattinson
Robert Redford
Robert Stadlober
Robert Wieckiewicz
Robert Wisdom
Roberto Benigni
Robin Tunney
Robin Williams
Robin Wright
Robyn Nevin
Rodolfo Sancho
Roger Carel
Roland Møller
Rolf Lassgård
Romain Duris
Roman Griffin Davis
Romane Bohringer
Romanthony
Ron Livingston
Ron Perlman
Rongguang Yu
Rooney Mara
Rory Culkin
Rosa Salazar
Rosalie Chiang
Rosamund Pike
Rosario Dawson
Rosario Flores
Rose Byrne
Rose Leslie
Rose McGowan
Rose McIver
Rosie Day
Rosie Traynor
Ross Lynch
Ross Noble
Rowan Atkinson
Ruby Stokes
Rufus Sewell
Rupert Evans
Rupert Everett
Rupert Friend
Rupert Grint
Russell Brand
Russell Crowe
Rutger Hauer
Ruth Negga
Ruth Vega Fernandez
Ryan Corr
Ryan Gosling
Ryan Guzman
Ryan Kwanten
Ryan Phillippe
Ryan Potter
Ryan Reynolds
Ryo Ishibashi
Ryôsuke Yamada
Ryunosuke Kamiki
Saara Chaudry
Sacha Baron Cohen
Sadie Sink
Sadie Stanley
Saif Ali Khan
Sally Field
Sally Hawkins
Salma Hayek
Salman Khan
Sam Claflin
Sam Elliott
Sam Heughan
Sam Neill
Sam Richardson
Sam Riley
Sam Rockwell
Sam Shepard
Sam Waterston
Sam Worthington
Samaire Armstrong
Samantha Mathis
Samantha Morton
Samantha Robinson
Samantha Ruth Prabhu
Samara Weaving
Samuel Bottomley
Samuel L. Jackson
Samuel Le Bihan
Samy Naceri
Sanaa Lathan
Sándor Csányi
Sandra Bullock
Sandra Escacena
Sandra Hüller
Sanjay Dutt
Santiago Segura
Sanya Malhotra
Saoirse Ronan
Sara Ali Khan
Sara Foster
Sara Paxton
Sara Takatsuki
Sarah Bolger
Sarah Butler
Sarah Drew
Sarah Gadon
Sarah Jessica Parker
Sarah Michelle Gellar
Sarah Paulson
Sarah Polley
Sarah Snook
Sarah Wayne Callies
Saravanan Arul
Sareum Srey Moch
Sasha Grey
Sasha Lane
Sasha Luss
Sasha Roiz
Saskia Rosendahl
Sasson Gabay
Scarlett Johansson
Scoot McNairy
Scott Adkins
Scott Bakula
Scott Eastwood
Scott Glenn
Scott Mechlowicz
Scott Patterson
Scott Shepherd
Scott Speedman
Scott Weinger
Scout Taylor-Compton
Sean Astin
Sean Bean
Sean Biggerstaff
Sean Connery
Sean Faris
Sean Gullette
Sean Hayes
Sean Nelson
Sean Patrick Flanery
Sean Penn
Sean Pertwee
Seána Kerslake
Seann William Scott
Sebastian Stan
Seidi Haarla
Selena Gomez
Selma Blair
Sener Sen
Sennia Nanua
Sergey Bodrov
Sergey Dreyden
Sergey Makovetskiy
Seth Green
Seth MacFarlane
Seth Rogen
Seu Jorge
Seung-Yun Lee
Sezai Paracikoglu
Shad Moss
Shah Rukh Khan
Shahid Kapoor
Shailene Woodley
Shameik Moore
Shane Brolly
Shane Carruth
Shane West
Shannen Doherty
Shannon Elizabeth
Shannon Purser
Shaoqun Yu
Sharlto Copley
Sharni Vinson
Sharon Leal
Sharon Stone
Shauna Macdonald
Shawn Ashmore
Shawn Wayans
Shay Mitchell
Shea Whigham
Sheila Vand
Shelley Long
Sheri Moon Zombie
Sheryl Lee
Shia LaBeouf
Shiloh Fernandez
Shinchô Kokontei
Shirley MacLaine
Shohreh Aghdashloo
Shu Qi
Shûichirô Moriyama
Shuzhen Zhao
Sian Breckin
Sid Haig
Siddharth
Sidharth Malhotra
Sidney Flanigan
Sidse Babett Knudsen
Sienna Miller
Sierra McCormick
Sigourney Weaver
Sigurður Sigurjónsson
Sihung Lung
Siiri Solalinna
Silambarasan Rajendar
Simon Pegg
Simon Rex
Simone Landers
Simu Liu
Sinbad
Siu-Wong Fan
Sivakarthikeyan
Slavko Stimac
Sofia Boutella
Sofia Buenaventura
Sofia Carson
Sofia Kappel
Sofia Mali
Sohum Shah
Sol Kyung-gu
Song Joong-ki
Song Kang-ho
Sonia Braga
Sonja Richter
Sook-Yin Lee
Sope Dirisu
Sophia Lillis
Sophia Loren
Sophie Monk
Sophie Nélisse
Sophie Thatcher
Soran Ebrahim
Soraya Omar-Scego
Søren Pilmark
Sosie Bacon
Sôta Fukushi
Spencer Reinhard
Srdjan 'Zika' Todorovic
Sridevi
Stacy Chbosky
Stanley Tucci
Stavros Psyllakis
Stellan Skarsgård
Stephan James
Stephanie Beatriz
Stephanie Leonidas
Stephen Campbell Moore
Stephen Chow
Stephen Dorff
Stephen Fry
Stephen Graham
Stephen Lang
Stephen McHattie
Stephen Rea
Stephen Spinella
Steve Austin
Steve Buscemi
Steve Carell
Steve Coogan
Steve Evets
Steve Martin
Steve Oedekerk
Steve Oram
Steve Zahn
Steven Seagal
Steven Strait
Steven Yeun
Stuart Graham
Sudeep
Suki Waterhouse
Sullivan Stapleton
Summer Bishil
Sunny Kaushal
Sunny Suljic
Suraj Sharma
Suriya
Susan May Pratt
Susan Sarandon
Susanne Lothar
Sushant Singh Rajput
Sverrir Gudnason
Sydney Sweeney
Sylvester Stallone
Taapsee Pannu
Tabu
Tadanobu Asano
Tae-Hyun Cha
Tahar Rahim
Taissa Farmiga
Tak Sakaguchi
Takahiro Nishijima
Takahiro Sakurai
Takako Matsu
Takayuki Hamatsu
Takeru Satoh
Takeshi Kaneshiro
Takeshi Kitano
Takuya Kimura
Talat Bulut
Talulah Riley
Tamlyn Tomita
Tammy Lauren
Taraji P. Henson
Taraneh Alidoosti
Taron Egerton
Tate Donovan
Tatsuya Fujiwara
Taye Diggs
Taylor Kitsch
Taylor Lautner
Taylor Russell
Taylour Paige
Ted Levine
Tenzin Thuthob Tsarong
Teo Halm
Terence Stamp
Teresa Palmer
Teri Hatcher
Terrence Howard
Terry Farrell
Terry Serpico
Teruyuki Kagawa
Tessa Thompson
Thanapat Saisaymar
Thandiwe Newton
Theo James
Thierry Lhermitte
Thobias Thorwid
Thomas Dekker
Thomas Doret
Thomas Gullestad
Thomas Horn
Thomas Ian Nicholas
Thomas Jane
Thomas Lennon
Thomas Mann
Thomas Turgoose
Thomasin McKenzie
Thora Birch
Thorbjørn Harr
Thure Lindhardt
Tiger Hu Chen
Tikhon Zhiznevskiy
Til Schweiger
Tilda Swinton
Tim Allen
Tim Blake Nelson
Tim Curry
Tim Griffin
Tim Heidecker
Tim Hill
Tim Matheson
Tim Meadows
Tim Robbins
Tim Roth
Timo Torikka
Timothée Chalamet
Timothy Balme
Timothy Dalton
Timothy Hutton
Timothy Olyphant
Timothy Spall
Tina Fey
Toa Yukinari
Tobey Maguire
Tobin Bell
Toby Irvine
Toby Jones
Toby Kebbell
Toby Stephens
Tolga Akdogan
Tolga Tekin
Tom Bateman
Tom Berenger
Tom Cavanagh
Tom Cruise
Tom Cullen
Tom Everett Scott
Tom Glynn-Carney
Tom Guiry
Tom Hanks
Tom Hardy
Tom Hiddleston
Tom Holland
Tom Hollander
Tom Hopper
Tom Kenny
Tom McGowan
Tom McGrath
Tom Payne
Tom Prior
Tom Schilling
Tom Selleck
Tom Wilkinson
Tomer Sisley
Tommy Flanagan
Tommy Lee Jones
Toni Collette
Toni Servillo
Tony Goldwyn
Tony Jaa
Tony Ka Fai Leung
Tony Leung Chiu-wai
Tony Shalhoub
Tony Todd
Topher Grace
Tôru Emori
Toshio Furukawa
Tovino Thomas
Tracey Ullman
Travis Fimmel
Travis Tedford
Treat Williams
Trevor Wright
Trey Parker
Trine Dyrholm
Triptii Dimri
Tristan Byon
Tristan Göbel
Trond Fausa
Tupac Shakur
Ty Burrell
Tye Sheridan
Tyler James Williams
Tyler Labine
Tyler Perry
Tyler Posey
Tyrese Gibson
Tyrin Turner
Ufuk Bayraktar
Ugur Yücel
Ulrich Mühe
Ulrich Thomsen
Ulrich Tukur
Uma Thurman
Unshô Ishizuka
Upendra
Val Kilmer
Valeria Bruni Tedeschi
Valerio Mastandrea
Vanessa Hudgens
Vanessa Kirby
Vanessa Paradis
Vanessa Redgrave
Varun Dhawan
Veerle Baetens
Vera Farmiga
Veronica Taylor
Vic Mignogna
Vicky Kaushal
Vicky Krieps
Victor Polster
Victor Wong
Victoria Abril
Victoria Justice
Vidya Balan
Vidyut Jammwal
Viggo Mortensen
Vijay Sethupathi
Vikram
Viktoria Miroshnichenko
Vin Diesel
Vince Vaughn
Vincent Cassel
Vincent D'Onofrio
Vincent Elbaz
Vincent Gallo
Vincent Lindon
Ving Rhames
Vinnie Jones
Viola Davis
Virginia Madsen
Virginie Efira
Vishnu Vishal
Vivian Wu
Vladimir Garin
Vladimir Vdovichenkov
Waad Mohammed
Wagner Moura
Waleed Elgadi
Walter Matthau
Ward Horton
Warren Beatty
Warren Christie
Wendi McLendon-Covey
Wes Ramsey
Wesley Snipes
Whitney Houston
Whoopi Goldberg
Wi Ha-joon
Will Adamsdale
Will Arnett
Will Ferrell
Will Forte
Will Rogers
Will Smith
Willem Dafoe
William Atherton
William H. Macy
William Hurt
William Shatner
Winona Ryder
Winslow Fegley
Winston Chao
Won Bin
Woody Allen
Woody Harrelson
Wu Jiang
Xavier Dolan
Xavier Samuel
Y'lan Noel
Yahya Abdul-Mateen II
Yalitza Aparicio
Yami Gautam
Yash
Yasiin Bey
Yavuz Bingöl
Ye Liu
Yeo-reum Han
Yeong-hie Seo
Yilmaz Erdogan
Yôji Matsuda
Yoko Honna
Yoo Ah-in
You Ge
Yû Aoi
Yu-Hang To
Yûki Kaji
Yukie Nakama
Yukiji Asaoka
Yûko Sanpei
Yuliya Peresild
Yun Jeong-hie
Yûta Sone
Yûya Yagira
Zac Efron
Zach Braff
Zach Cregger
Zach Galifianakis
Zach Galligan
Zachary Bennett
Zachary Gordon
Zachary Levi
Zachary Quinto
Zack Gottsagen
Zain Al Rafeea
Zbigniew Zamachowski
Zdenek Sverák
Zhang Wen
Ziyi Zhang
Zlatko Buric
Zoé Héran
Zoë Kravitz
Zoe Margaret Colletti
Zoe Saldana
Zoey Deutch
Zooey Deschanel
Zsófia Psotta
